State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.07647	4.10555	4.12424	4.12424	4.14362	4.12631	4.12147	4.08824	4.04394	3.95949	3.84389	3.71029	3.55662	3.37318	3.22089	3.06583	2.93708	2.81594	2.66227	2.57851	2.49268
2	4.55347	4.63976	4.64469	4.73098	4.71619	4.69400	4.65455	4.63976	4.53375	4.39569	4.21079	4.05794	3.81141	3.65363	3.48352	3.34546	3.18768	3.06688	2.99045	2.85239	2.80555
3	1.09295	1.05661	1.05920	1.05401	1.04103	1.07348	1.08127	1.07348	1.08387	1.13708	1.18381	1.25780	1.35256	1.42914	1.46160	1.47068	1.48756	1.49405	1.51092	1.53039	1.51611
4	0.66667	0.63425	0.65248	0.64640	0.62411	0.60182	0.56738	0.55724	0.57751	0.57346	0.60182	0.58561	0.60993	0.63222	0.58561	0.61196	0.63222	0.62817	0.63425	0.65451	0.69504
5	3.14606	3.15536	3.11818	3.11353	3.05777	3.04383	3.10889	3.13677	3.08565	2.92765	2.83006	2.76500	2.57447	2.43971	2.38394	2.25383	2.27706	2.35606	2.37930	2.30959	2.20736
6	1.66487	1.65223	1.65504	1.73091	1.72107	1.62835	1.61289	1.68173	1.74215	1.80537	1.77446	1.80116	1.84892	1.83768	1.88686	1.87562	1.95570	1.96413	1.96273	1.93884	1.96273
7	3.23667	3.25255	3.24347	3.08924	3.07109	3.06429	3.05068	3.00985	2.93500	2.80345	2.72860	2.71499	2.68324	2.70138	2.76943	2.85562	2.74901	2.71726	2.67870	2.76489	2.76943
8	1.25587	1.25274	1.24825	1.24798	1.25056	1.25995	1.26131	1.26444	1.27559	1.29940	1.33272	1.35871	1.39081	1.42577	1.45515	1.48658	1.51283	1.53827	1.56929	1.58561	1.60153
9	0.38804	0.38823	0.38896	0.38804	0.38927	0.39129	0.39154	0.39221	0.39381	0.39479	0.39761	0.39939	0.40068	0.40228	0.40387	0.40620	0.40688	0.40761	0.40835	0.40952	0.41056
10	1.81483	1.78694	1.76763	1.77621	1.74833	1.72687	1.77621	1.76334	1.72473	1.71400	1.66466	1.63678	1.63892	1.64965	1.63249	1.60889	1.62605	1.65394	1.67539	1.69041	1.69684
