State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.52844	0.49179	0.45635	0.42764	0.39465	0.37449	0.35494	0.34517	0.34272	0.34578	0.35555	0.37388	0.38732	0.39710	0.41298	0.42031	0.42886	0.45819	0.50462	0.54982	0.61214
2	1.16404	1.04873	0.97040	0.83115	0.76370	0.70930	0.72018	0.72671	0.75282	0.78763	0.88337	0.90295	0.89207	0.91600	0.91600	0.96605	1.05308	1.20103	1.45995	1.75803	2.09092
3	1.66339	1.54769	1.37127	1.21318	1.02072	0.83399	0.68048	0.57165	0.49833	0.45938	0.41012	0.41585	0.46511	0.48573	0.58539	0.80764	1.24640	1.82950	2.31523	2.78377	3.15953
4	1.97791	1.81875	1.62561	1.26973	0.94425	0.77435	0.62056	0.56333	0.50431	0.48285	0.46497	0.45245	0.45603	0.48643	0.54187	0.81728	1.63813	2.68789	3.70367	4.52631	4.94836
5	5.02405	5.68435	6.12318	6.64814	6.43078	5.22911	3.97822	2.97752	2.50587	2.03012	1.89888	2.15316	2.82167	4.41296	9.12121	15.56019	19.52200	20.17410	19.01345	17.17198	15.48636
6	2.90519	3.09986	3.53880	4.05710	4.49232	5.04657	5.02177	4.40800	3.58344	3.58468	3.47308	2.73532	2.66836	2.94363	3.30197	3.77687	3.94054	3.47928	2.91015	2.53816	2.25670
7	4.06158	4.60006	5.50285	6.98216	9.54242	13.33777	18.58439	24.65775	29.64615	31.88012	32.87100	33.86187	32.72487	30.16061	25.18822	18.46429	12.29284	8.31734	5.94725	4.44392	3.54913
8	1.90998	1.88465	1.82834	1.73794	1.61116	1.41787	1.18964	0.95121	0.77593	0.67460	0.63594	0.63618	0.67712	0.74111	0.82935	0.93464	1.05086	1.15663	1.23214	1.27236	1.29769
9	0.33272	0.32812	0.32287	0.31724	0.31166	0.30538	0.29780	0.29152	0.28697	0.28350	0.28063	0.28069	0.28258	0.28426	0.28897	0.29406	0.29893	0.30554	0.31079	0.31621	0.32038
10	1.50701	1.52973	1.54866	1.58653	1.61871	1.60357	1.58842	1.48808	1.33851	1.20977	1.20031	1.19652	1.23628	1.32148	1.47483	1.57328	1.63197	1.60167	1.62629	1.59789	1.55624
