State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	5.05134	0.45865	4.56123	2.20288	3.84221	0.35556	0.47158	0.31851
2	1.41832	1.14416	5.16312	2.25995	4.21123	0.88339	1.00491	0.18427
3	2.69377	0.47454	0.91596	2.16165	1.18394	0.41013	1.10496	0.26193
4	1.72558	0.26612	0.52224	2.25170	0.60189	0.46498	1.34879	0.14123
5	0.75244	2.11212	2.75430	2.17715	2.83036	1.89894	7.27255	0.20092
6	2.48878	4.26226	1.62205	1.07535	1.77465	3.47319	3.49973	0.52701
7	1.54161	36.72096	5.71196	1.35470	2.72889	32.87001	15.41183	0.36077
8	25.70407	0.44610	1.13189	1.11159	1.33286	0.63596	1.22754	0.66136
9	56.99411	0.16498	0.34021	0.69708	0.39766	0.28064	0.33351	1.34932
10	1.62999	2.85112	1.76043	0.76925	1.66484	1.20035	1.46397	0.77229
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
