State (Emission order)	H2az	H3k9ac	H3k4me3	H3k4me2	H3k27ac	H3k4me1	H3k79me2	H4k20me1	H3k36me3	H3k9me3
1	2.992667434274977E-4	0.036995710721314835	3.948718059185603E-5	8.461116211161644E-5	0.023883307476575077	0.003285535957336267	0.018029358162188293	0.038209717491077724	0.6415198645736311	0.0033463318542882353
2	3.096282304254776E-4	0.04560607526791856	9.034132153215206E-4	0.0017651150220236436	0.15327762566627806	0.044378802688301855	0.3739555889316109	0.5610339235989885	0.867968786554394	0.00816490795134853
3	7.456080008205787E-4	0.034163847223500354	5.7198836688067676E-5	6.251422309593328E-4	0.016414726700538288	0.018847614223029822	0.19236412643070575	0.1897926571263914	0.04463238563857295	0.0025572969871594502
4	0.0017170606692095607	0.051759387717406624	4.8303584350382396E-4	0.009326320775111644	0.15675226531370015	0.17433537770064034	0.8660015343653592	0.566255529288282	0.11059269116813157	0.002893862446326656
5	0.035879360469984155	0.2730049506646026	0.5101809095274988	0.7482281096332266	0.7250306725290846	0.9207376387890885	0.8170762360250853	0.4484513481735703	0.1225961520575771	8.531963174858243E-4
6	0.13810530855321612	0.08427094765621866	0.05312716610835965	0.23038526026761136	0.2716755287189513	0.7400829479251616	0.03288040190305648	0.014007393334677022	0.006382408326356732	0.006288289627491617
7	0.6711424490523166	0.5838732364084769	0.9287714188462752	0.9956719098305286	0.6674848751204235	0.6523274218049931	0.23149941585717304	0.026784251025973385	6.379178822990449E-4	0.0085335570750682
8	0.01814918252423078	0.03204511248688481	9.4788945287796E-10	2.0720622845981916E-4	8.683119718183639E-4	0.006127986324292072	0.002972313085905015	0.0036079220136410683	0.003880955660236576	0.0013187206566240243
9	9.374694596672756E-4	0.012739272698106614	1.0685304899266132E-5	5.2528529726163293E-5	8.103250219302951E-6	6.06315935976643E-4	4.5316167885931885E-4	0.0012138297219329544	1.0141636755143877E-5	0.00719084426236817
10	0.003676699367525957	0.008561555408520072	0.046507168440334735	0.0033188316069979362	0.0016910767100893288	0.002302977996190267	0.010362213986283201	0.003455032699044388	0.0588069879789448	0.5003898520883752
